A[0]=32, B[0]=32,C[0]=64
A[1]=54, B[1]=12,C[1]=66
A[2]=52, B[2]=56,C[2]=108
A[3]=8, B[3]=30,C[3]=38
A[4]=44, B[4]=94,C[4]=138
A[5]=44, B[5]=39,C[5]=83
A[6]=65, B[6]=19,C[6]=84
A[7]=51, B[7]=91,C[7]=142
A[8]=1, B[8]=5,C[8]=6
A[9]=89, B[9]=34,C[9]=123
A[10]=25, B[10]=58,C[10]=83
A[11]=20, B[11]=51,C[11]=71
A[12]=38, B[12]=65,C[12]=103
A[13]=30, B[13]=7,C[13]=37
A[14]=20, B[14]=10,C[14]=30
A[15]=51, B[15]=18,C[15]=69
A[16]=43, B[16]=71,C[16]=114
A[17]=97, B[17]=61,C[17]=158
A[18]=26, B[18]=5,C[18]=31
A[19]=57, B[19]=70,C[19]=127
A[20]=65, B[20]=0,C[20]=65
A[21]=75, B[21]=29,C[21]=104
A[22]=86, B[22]=93,C[22]=179
A[23]=87, B[23]=87,C[23]=174
A[24]=64, B[24]=75,C[24]=139
A[25]=88, B[25]=89,C[25]=177
A[26]=100, B[26]=7,C[26]=107
A[27]=40, B[27]=37,C[27]=77
A[28]=38, B[28]=36,C[28]=74
A[29]=44, B[29]=24,C[29]=68
A[30]=46, B[30]=95,C[30]=141
A[31]=43, B[31]=89,C[31]=132
A[32]=32, B[32]=5,C[32]=37
A[33]=15, B[33]=58,C[33]=73
A[34]=77, B[34]=72,C[34]=149
A[35]=95, B[35]=8,C[35]=103
A[36]=38, B[36]=69,C[36]=107
A[37]=37, B[37]=24,C[37]=61
A[38]=27, B[38]=90,C[38]=117
A[39]=77, B[39]=92,C[39]=169
A[40]=31, B[40]=30,C[40]=61
A[41]=80, B[41]=30,C[41]=110
A[42]=37, B[42]=86,C[42]=123
A[43]=33, B[43]=76,C[43]=109
A[44]=21, B[44]=77,C[44]=98
A[45]=100, B[45]=68,C[45]=168
A[46]=37, B[46]=8,C[46]=45
A[47]=22, B[47]=69,C[47]=91
A[48]=81, B[48]=38,C[48]=119
A[49]=94, B[49]=57,C[49]=151
A[50]=76, B[50]=54,C[50]=130
A[51]=65, B[51]=14,C[51]=79
A[52]=89, B[52]=69,C[52]=158
A[53]=4, B[53]=16,C[53]=20
A[54]=24, B[54]=47,C[54]=71
A[55]=7, B[55]=21,C[55]=28
A[56]=78, B[56]=53,C[56]=131
A[57]=17, B[57]=81,C[57]=98
A[58]=39, B[58]=50,C[58]=89
A[59]=22, B[59]=60,C[59]=82
A[60]=93, B[60]=89,C[60]=182
A[61]=94, B[61]=30,C[61]=124
A[62]=97, B[62]=16,C[62]=113
A[63]=65, B[63]=43,C[63]=108
A[64]=20, B[64]=24,C[64]=44
A[65]=67, B[65]=62,C[65]=129
A[66]=78, B[66]=98,C[66]=176
A[67]=42, B[67]=67,C[67]=109
A[68]=32, B[68]=46,C[68]=78
A[69]=49, B[69]=57,C[69]=106
A[70]=60, B[70]=56,C[70]=116
A[71]=44, B[71]=37,C[71]=81
A[72]=75, B[72]=62,C[72]=137
A[73]=17, B[73]=13,C[73]=30
A[74]=11, B[74]=40,C[74]=51
